isolate;A1;A2;A3;A4;B1;B2;B3;C1;maximal error;large error entris (position: entry)
100;0.0175;0.0175;0.0;0.5564;0.0055;0.0023;0.0;0.4;0.3866;8: 0.3866, 21: 0.1533, 
101;0.031;0.0;0.0006;0.41;0.0;0.002;0.0024;0.553;0.5279;8: 0.5279, 13: 0.1796, 16: 0.1536, 21: 0.1189, 
102;0.0139;0.0;0.0;0.2417;0.0;0.1006;0.0004;0.6426;0.5968;3: 0.1013, 8: 0.5968, 13: 0.1155, 
103;0.0112;0.0;0.0;0.3719;0.0;0.0596;0.0011;0.5555;0.5158;8: 0.5158, 
104;0.0007;0.0051;0.0007;0.0;0.0018;0.9899;0.0;0.0016;0.0061;
105;0.0051;0.0001;0.001;0.0004;0.0025;0.0;0.0;0.9907;0.0363;
106;0.0027;0.0013;0.0;0.0009;0.993;0.0;0.0;0.0014;0.0365;
107;0.0096;0.0;0.0009;0.0;0.0;0.0252;0.9619;0.002;0.0619;
108;0.0;0.0;0.0517;0.0;0.0539;0.8724;0.0192;0.002;0.9239;10: 0.8737, 14: 0.9239, 21: 0.9191, 
109;0.0192;0.0175;0.0007;0.0015;0.0;0.5842;0.0048;0.3714;0.6014;8: 0.1711, 16: 0.1039, 18: 0.6014, 21: 0.5943, 
110;0.0031;0.0165;0.9409;0.0;0.0248;0.0025;0.0073;0.0044;0.0111;
111;0.931;0.0;0.0007;0.0;0.0;0.0184;0.0013;0.0478;0.0653;
112;0.4964;0.0;0.0006;0.0;0.0;0.2956;0.2055;0.0011;0.49;6: 0.2948, 7: 0.2933, 9: 0.2892, 14: 0.1831, 18: 0.1943, 19: 0.49, 20: 0.2045, 21: 0.1956, 
113;0.0073;0.0;0.0;0.0;0.0;0.4491;0.5409;0.0017;0.5009;6: 0.1877, 7: 0.1833, 9: 0.1833, 14: 0.5009, 18: 0.3749, 20: 0.41, 21: 0.4051, 
SZ;0.1024;0.0;0.0;0.0;0.0;0.0027;0.0003;0.8914;0.896;8: 0.3756, 11: 0.6676, 12: 0.6322, 13: 0.22, 14: 0.896, 16: 0.1976, 17: 0.7388, 18: 0.8914, 20: 0.6996, 21: 0.1883, 
Gyp;0.1567;0.0;0.5082;0.1018;0.0;0.1842;0.0029;0.0451;0.2755;13: 0.1092, 18: 0.2655, 19: 0.1823, 21: 0.2755, 
23;0.076;0.0;0.0;0.0;0.9005;0.0154;0.0;0.0074;0.5545;14: 0.5545, 
24;0.0826;0.0;0.0;0.0;0.0036;0.0;0.0;0.9128;0.996;11: 0.9907, 12: 0.996, 14: 0.9078, 
26;0.9884;0.0053;0.0;0.0;0.0013;0.0019;0.0;0.0022;0.0099;
34;0.7606;0.0;0.0007;0.0;0.1016;0.0075;0.1266;0.0022;0.1433;14: 0.1416, 19: 0.1433, 20: 0.1414, 21: 0.1359, 
35;0.4097;0.0;0.0;0.0;0.0692;0.2329;0.2854;0.0017;0.3356;6: 0.2347, 7: 0.1925, 9: 0.2273, 14: 0.3356, 19: 0.3093, 
36;0.8383;0.0;0.0008;0.0395;0.0;0.0009;0.0342;0.0862;0.1072;21: 0.1072, 
37;0.8957;0.0975;0.0005;0.0;0.0004;0.0021;0.0;0.0032;0.1181;11: 0.1181, 14: 0.102, 
40;0.0022;0.9923;0.0;0.0;0.0017;0.0017;0.0;0.0015;0.005;
41;0.0011;0.0034;0.0;0.0;0.9928;0.0;0.0;0.002;0.0345;
42;0.3256;0.0;0.0002;0.0;0.6664;0.0022;0.0;0.0051;0.2609;18: 0.139, 19: 0.2198, 20: 0.2609, 21: 0.2229, 
43;0.1902;0.7442;0.0067;0.0;0.0387;0.0068;0.0;0.0124;0.0504;
44;0.0012;0.0018;0.0008;0.0;0.9939;0.0;0.0;0.0016;0.0289;
45;0.4652;0.0;0.0139;0.0;0.3859;0.0109;0.118;0.0055;0.4395;1: 0.4377, 2: 0.4395, 4: 0.4395, 6: 0.4383, 9: 0.4092, 14: 0.1345, 18: 0.1934, 20: 0.1131, 
47;0.5072;0.0;0.0126;0.0094;0.221;0.0168;0.1778;0.0544;0.4062;18: 0.4062, 19: 0.359, 20: 0.3752, 21: 0.3981, 
48;0.0004;0.9939;0.0008;0.0;0.0017;0.0014;0.0;0.0012;0.0031;
51;0.0;0.0;0.9946;0.0;0.0011;0.0019;0.0;0.0017;0.0059;
52;0.0084;0.0069;0.0006;0.9783;0.0004;0.0035;0.0;0.0014;0.0077;
53;0.0123;0.0041;0.0004;0.9737;0.0055;0.0;0.0;0.0034;0.0069;
54;0.044;0.0057;0.0037;0.917;0.008;0.0018;0.0;0.0192;0.0165;
55;0.0138;0.0108;0.0011;0.9622;0.0009;0.0075;0.0;0.0025;0.0102;
56;0.0241;0.0;0.0;0.9534;0.0;0.0135;0.0068;0.0011;0.0152;
57;0.002;0.0083;0.0006;0.9823;0.0022;0.002;0.0;0.002;0.0066;
58;0.0196;0.0;0.002;0.9581;0.0142;0.0035;0.0;0.0019;0.0132;
59;0.0039;0.0122;0.0006;0.976;0.0033;0.0013;0.0;0.0019;0.0065;
62;0.9295;0.0;0.0007;0.0;0.0;0.0031;0.0066;0.0595;0.0572;
63;0.8258;0.0;0.0;0.0;0.0;0.0713;0.0986;0.003;0.1392;19: 0.1392, 
64;0.8617;0.0;0.0022;0.0;0.0;0.0468;0.0868;0.0018;0.0934;
65;0.8805;0.0;0.0;0.0;0.0529;0.0101;0.0425;0.0103;0.1262;1: 0.1149, 2: 0.1167, 4: 0.1176, 6: 0.1262, 9: 0.1207, 
66;0.9966;0.0;0.0;0.0;0.001;0.0007;0.0;0.0011;0.003;
67;0.7184;0.0;0.0014;0.0;0.0;0.1292;0.1279;0.0215;0.1694;14: 0.1543, 19: 0.1694, 
68;0.6887;0.0;0.0006;0.0;0.0;0.1365;0.0791;0.0946;0.169;3: 0.136, 5: 0.137, 6: 0.1359, 13: 0.1215, 14: 0.1564, 19: 0.169, 
69;0.9925;0.0;0.0006;0.0;0.0021;0.0025;0.0;0.0015;0.0057;
70;0.9858;0.0;0.0008;0.0;0.0011;0.0104;0.0;0.0012;0.0104;
71;0.9592;0.0064;0.0;0.0233;0.0;0.001;0.0018;0.0077;0.0301;
72;0.4425;0.3024;0.0;0.0842;0.08;0.0408;0.0;0.0494;0.1295;18: 0.1272, 19: 0.1181, 21: 0.1295, 
76;0.9946;0.0;0.0004;0.0;0.0013;0.0011;0.0;0.0019;0.0049;
77;0.0341;0.0089;0.0021;0.0;0.0255;0.0488;0.0142;0.8654;0.1483;8: 0.1483, 
78;0.0948;0.0;0.0476;0.0;0.2058;0.1008;0.2928;0.2572;0.3733;8: 0.254, 9: 0.2296, 14: 0.3733, 16: 0.1742, 18: 0.1455, 19: 0.1598, 
79;0.4196;0.0;0.0747;0.0;0.0668;0.1051;0.1434;0.1874;0.1847;8: 0.1847, 14: 0.1528, 19: 0.1361, 
80;0.9855;0.0087;0.0;0.0;0.0009;0.002;0.0;0.0021;0.0139;
81;0.086;0.0;0.0042;0.0129;0.0495;0.8025;0.0277;0.0153;0.0764;
83;0.0501;0.0;0.7868;0.0106;0.0738;0.0117;0.038;0.0277;0.0269;
84;0.5607;0.0308;0.0348;0.0;0.1488;0.0273;0.0352;0.1597;0.1066;8: 0.1066, 
85;0.9132;0.0;0.0093;0.0;0.0083;0.0146;0.0;0.0529;0.0499;
86;0.4272;0.0;0.0335;0.0;0.1594;0.0958;0.0779;0.2023;0.1036;18: 0.1036, 
87;0.8416;0.0;0.0;0.0;0.0145;0.0076;0.07;0.0652;0.1339;18: 0.1339, 
90;0.6131;0.0382;0.0;0.2554;0.0026;0.0832;0.0;0.0066;0.0506;
91;0.0573;0.0;0.0021;0.0;0.0057;0.3277;0.0201;0.5848;0.5373;8: 0.5373, 16: 0.2202, 18: 0.3094, 19: 0.1882, 21: 0.2921, 
92;0.0901;0.0;0.0;0.0;0.0;0.1438;0.0121;0.7532;0.4704;8: 0.4704, 14: 0.1786, 16: 0.1014, 
93;0.0012;0.0021;0.0008;0.0;0.0026;0.001;0.0001;0.9918;0.0107;
94;0.887;0.0;0.0033;0.0;0.0;0.0596;0.0218;0.0279;0.0656;
95;0.003;0.0007;0.0;0.0016;0.0018;0.0;0.0;0.9921;0.0226;
96;0.0007;0.0111;0.0003;0.9834;0.0012;0.0009;0.0;0.0021;0.0081;
97;0.0016;0.009;0.0;0.9824;0.0012;0.0009;0.0;0.004;0.006;
98;0.0001;0.0021;0.0011;0.0016;0.002;0.0;0.0;0.9926;0.0196;
99;0.0147;0.0;0.0;0.3603;0.0;0.113;0.0019;0.5097;0.477;3: 0.1115, 5: 0.1103, 6: 0.1096, 8: 0.477, 13: 0.1407, 19: 0.1107, 
SB;0.6219;0.0;0.0006;0.0;0.0691;0.2017;0.1046;0.0011;0.2297;6: 0.2027, 7: 0.1984, 9: 0.2041, 19: 0.2297, 20: 0.1708, 
SU;0.0081;0.0;0.0;0.0;0.0;0.4677;0.5222;0.0007;0.5073;6: 0.1967, 7: 0.1939, 9: 0.1981, 14: 0.5073, 18: 0.3619, 20: 0.4047, 21: 0.3799, 